type,total_volts,total_amps,cgpu_volts,cgpu_amps
run,5048,744,5040,184
run,5048,760,5040,184
run,5048,768,5040,184
run,5048,768,5040,184
run,5048,776,5040,184
run,5048,768,5040,184
run,5048,760,5040,184
run,5048,752,5040,184
run,5048,752,5040,184
run,5048,744,5040,184
run,5048,744,5040,184
run,5048,744,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
run,5048,736,5040,184
